76,175,Daylight saving time,http://en.wikipedia.org/wiki/Daylight_saving_time
77,54,Telephone numbers in India,http://en.wikipedia.org/wiki/Telephone_numbers_in_India
78,1196,ISO 3166,http://en.wikipedia.org/wiki/ISO_3166
79,46,ISO 3166-2:IN,http://en.wikipedia.org/wiki/ISO_3166-2:IN
80,202,Country code top-level domain,http://en.wikipedia.org/wiki/Country_code_top-level_domain
81,12398,.in,http://en.wikipedia.org/wiki/.in
82,515,South Asia,http://en.wikipedia.org/wiki/South_Asia
83,23,List of countries and outlying territories by total area,http://en.wikipedia.org/wiki/List_of_countries_and_outlying_territories_by_total_area
84,87,Democracy,http://en.wikipedia.org/wiki/Democracy
85,959,Indian Ocean,http://en.wikipedia.org/wiki/Indian_Ocean
86,393,Arabian Sea,http://en.wikipedia.org/wiki/Arabian_Sea
87,519,Bay of Bengal,http://en.wikipedia.org/wiki/Bay_of_Bengal
88,5315,Pakistan,http://en.wikipedia.org/wiki/Pakistan
89,159747,China,http://en.wikipedia.org/wiki/China
90,769,Nepal,http://en.wikipedia.org/wiki/Nepal
91,545,Bhutan,http://en.wikipedia.org/wiki/Bhutan
92,609,Burma,http://en.wikipedia.org/wiki/Burma
93,2739,Bangladesh,http://en.wikipedia.org/wiki/Bangladesh
94,2742,Sri Lanka,http://en.wikipedia.org/wiki/Sri_Lanka
95,774,Maldives,http://en.wikipedia.org/wiki/Maldives
96,1519,Andaman and Nicobar Islands,http://en.wikipedia.org/wiki/Andaman_and_Nicobar_Islands
97,4775,Thailand,http://en.wikipedia.org/wiki/Thailand
98,8113,Indonesia,http://en.wikipedia.org/wiki/Indonesia
99,372,Indus Valley Civilisation,http://en.wikipedia.org/wiki/Indus_Valley_Civilisation
100,189,Indian subcontinent,http://en.wikipedia.org/wiki/Indian_subcontinent
101,75,Hinduism in India,http://en.wikipedia.org/wiki/Hinduism_in_India
102,144,History of Buddhism in India,http://en.wikipedia.org/wiki/History_of_Buddhism_in_India
103,15,Statistics of Jainism,http://en.wikipedia.org/wiki/Statistics_of_Jainism
104,90,Sikhism in India,http://en.wikipedia.org/wiki/Sikhism_in_India
105,125,Judaism,http://en.wikipedia.org/wiki/Judaism
106,210,Parsi,http://en.wikipedia.org/wiki/Parsi
107,75,Christianity in India,http://en.wikipedia.org/wiki/Christianity_in_India
108,120,Islam in India,http://en.wikipedia.org/wiki/Islam_in_India
109,49,Common Era,http://en.wikipedia.org/wiki/Common_Era
110,3600,Culture of India,http://en.wikipedia.org/wiki/Culture_of_India
111,165,Company rule in India,http://en.wikipedia.org/wiki/Company_rule_in_India
112,3101,British Raj,http://en.wikipedia.org/wiki/British_Raj
113,4,Non-violent resistance,http://en.wikipedia.org/wiki/Non-violent_resistance
114,261,Mohandas Karamchand Gandhi,http://en.wikipedia.org/wiki/Mohandas_Karamchand_Gandhi
115,2359,Economy of India,http://en.wikipedia.org/wiki/Economy_of_India
116,952,Economic liberalisation in India,http://en.wikipedia.org/wiki/Economic_liberalisation_in_India
117,8,Newly industrialised country,http://en.wikipedia.org/wiki/Newly_industrialised_country
118,1246,Poverty in India,http://en.wikipedia.org/wiki/Poverty_in_India
119,1155,Corruption in India,http://en.wikipedia.org/wiki/Corruption_in_India
120,129,Malnutrition in India,http://en.wikipedia.org/wiki/Malnutrition_in_India
121,1022,Healthcare in India,http://en.wikipedia.org/wiki/Healthcare_in_India
122,51,Terrorism in India,http://en.wikipedia.org/wiki/Terrorism_in_India
123,5,Nuclear weapons state,http://en.wikipedia.org/wiki/Nuclear_weapons_state
124,24,List of countries by number of troops,http://en.wikipedia.org/wiki/List_of_countries_by_number_of_troops
125,151,List of countries by military expenditures,http://en.wikipedia.org/wiki/List_of_countries_by_military_expenditures
126,4710,States and territories of India,http://en.wikipedia.org/wiki/States_and_territories_of_India
127,3345,Languages of India,http://en.wikipedia.org/wiki/Languages_of_India
128,1141,Wildlife of India,http://en.wikipedia.org/wiki/Wildlife_of_India
129,1113,Protected areas of India,http://en.wikipedia.org/wiki/Protected_areas_of_India
130,10,Names of India,http://en.wikipedia.org/wiki/Names_of_India
131,22,Old Persian language,http://en.wikipedia.org/wiki/Old_Persian_language
132,364,Hindus,http://en.wikipedia.org/wiki/Hindus
133,132,Indus River,http://en.wikipedia.org/wiki/Indus_River
134,34,Ancient Greece,http://en.wikipedia.org/wiki/Ancient_Greece
135,2352,Constitution of India,http://en.wikipedia.org/wiki/Constitution_of_India
136,27,Names of the Republic of India in its official languages,http://en.wikipedia.org/wiki/Names_of_the_Republic_of_India_in_its_official_languages
137,23,Eponym,http://en.wikipedia.org/wiki/Eponym
138,303,Hindustan,http://en.wikipedia.org/wiki/Hindustan
139,170,Persian language,http://en.wikipedia.org/wiki/Persian_language
140,978,History of India,http://en.wikipedia.org/wiki/History_of_India
141,450,History of the Republic of India,http://en.wikipedia.org/wiki/History_of_the_Republic_of_India
142,10,Anatomically modern humans,http://en.wikipedia.org/wiki/Anatomically_modern_humans
143,67,Mesolithic,http://en.wikipedia.org/wiki/Mesolithic
